org:resource,lifecycle:transition,e,ws,case:REG_DATE,c,case:AMOUNT_REQ
112,COMPLETE,A_SUBMITTED,2011-09-30 22:38:44.546000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
112,COMPLETE,A_PARTLYSUBMITTED,2011-09-30 22:38:44.880000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
112,COMPLETE,A_PREACCEPTED,2011-09-30 22:39:37.906000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
112,SCHEDULE,W_Completeren aanvraag,2011-09-30 22:39:38.875000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
,START,W_Completeren aanvraag,2011-10-01 09:36:46.437000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10862,COMPLETE,A_ACCEPTED,2011-10-01 09:42:43.308000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10862,COMPLETE,O_SELECTED,2011-10-01 09:45:09.243000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10862,COMPLETE,A_FINALIZED,2011-10-01 09:45:09.243000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10862,COMPLETE,O_CREATED,2011-10-01 09:45:11.197000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10862,COMPLETE,O_SENT,2011-10-01 09:45:11.380000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
,SCHEDULE,W_Nabellen offertes,2011-10-01 09:45:11.554000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
,COMPLETE,W_Completeren aanvraag,2011-10-01 09:45:13.917000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
,START,W_Nabellen offertes,2011-10-01 10:15:41.290000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
,COMPLETE,W_Nabellen offertes,2011-10-01 10:17:08.924000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10913,START,W_Nabellen offertes,2011-10-08 14:26:57.720000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10913,COMPLETE,W_Nabellen offertes,2011-10-08 14:32:00.886000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
11049,START,W_Nabellen offertes,2011-10-10 09:32:22.495000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
11049,COMPLETE,O_SENT_BACK,2011-10-10 09:33:03.668000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
11049,SCHEDULE,W_Valideren aanvraag,2011-10-10 09:33:04.560000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
11049,COMPLETE,W_Nabellen offertes,2011-10-10 09:33:05.791000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10629,START,W_Valideren aanvraag,2011-10-13 08:05:26.925000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10629,COMPLETE,A_REGISTERED,2011-10-13 08:37:29.226000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10629,COMPLETE,A_APPROVED,2011-10-13 08:37:29.226000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10629,COMPLETE,O_ACCEPTED,2011-10-13 08:37:29.226000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10629,COMPLETE,A_ACTIVATED,2011-10-13 08:37:29.226000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
10629,COMPLETE,W_Valideren aanvraag,2011-10-13 08:37:37.026000+00:00,2011-09-30 22:38:44.546000+00:00,173688,20000
112,COMPLETE,A_SUBMITTED,2011-10-01 06:08:58.256000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 06:09:02.195000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
112,COMPLETE,A_PREACCEPTED,2011-10-01 06:09:56.648000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
112,SCHEDULE,W_Completeren aanvraag,2011-10-01 06:09:59.578000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,START,W_Completeren aanvraag,2011-10-01 09:37:32.393000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,COMPLETE,W_Completeren aanvraag,2011-10-01 09:43:13.178000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,START,W_Completeren aanvraag,2011-10-01 12:27:57.775000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10862,COMPLETE,A_ACCEPTED,2011-10-01 12:33:54.614000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10862,COMPLETE,A_FINALIZED,2011-10-01 12:35:46.016000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10862,COMPLETE,O_SELECTED,2011-10-01 12:35:46.016000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10862,COMPLETE,O_CREATED,2011-10-01 12:35:47.488000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10862,COMPLETE,O_SENT,2011-10-01 12:35:47.583000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,SCHEDULE,W_Nabellen offertes,2011-10-01 12:35:47.682000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,COMPLETE,W_Completeren aanvraag,2011-10-01 12:35:48.791000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,START,W_Nabellen offertes,2011-10-01 12:36:13.443000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,COMPLETE,W_Nabellen offertes,2011-10-01 12:36:25.794000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,START,W_Nabellen offertes,2011-10-03 14:54:43.257000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11120,COMPLETE,O_SELECTED,2011-10-03 14:56:17.731000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11120,COMPLETE,O_CANCELLED,2011-10-03 14:56:17.731000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11120,COMPLETE,O_CREATED,2011-10-03 14:56:19.613000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11120,COMPLETE,O_SENT,2011-10-03 14:56:19.645000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,SCHEDULE,W_Nabellen offertes,2011-10-03 14:56:19.941000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,COMPLETE,W_Nabellen offertes,2011-10-03 14:56:21.195000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,START,W_Nabellen offertes,2011-10-03 14:56:34.792000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
,COMPLETE,W_Nabellen offertes,2011-10-03 14:57:16.563000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11049,START,W_Nabellen offertes,2011-10-10 08:13:44.827000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11049,COMPLETE,O_SENT_BACK,2011-10-10 08:14:43.775000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11049,SCHEDULE,W_Valideren aanvraag,2011-10-10 08:14:44.052000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
11049,COMPLETE,W_Nabellen offertes,2011-10-10 08:14:45.514000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,START,W_Valideren aanvraag,2011-10-10 09:12:36.612000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,W_Valideren aanvraag,2011-10-10 09:30:54.893000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,START,W_Valideren aanvraag,2011-10-10 12:11:42.124000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,W_Valideren aanvraag,2011-10-10 12:14:13.394000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,START,W_Valideren aanvraag,2011-10-10 12:14:52.842000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,O_ACCEPTED,2011-10-10 12:17:26.306000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,A_APPROVED,2011-10-10 12:17:26.307000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,A_REGISTERED,2011-10-10 12:17:26.307000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,A_ACTIVATED,2011-10-10 12:17:26.307000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
10809,COMPLETE,W_Valideren aanvraag,2011-10-10 12:17:34.633000+00:00,2011-10-01 06:08:58.256000+00:00,173691,5000
112,COMPLETE,A_SUBMITTED,2011-10-01 06:10:30.287000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 06:10:30.591000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
112,COMPLETE,A_PREACCEPTED,2011-10-01 06:11:13.026000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
112,SCHEDULE,W_Completeren aanvraag,2011-10-01 06:11:13.390000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
10912,START,W_Completeren aanvraag,2011-10-01 09:31:25.301000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
10912,COMPLETE,W_Completeren aanvraag,2011-10-01 09:35:59.637000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
,START,W_Completeren aanvraag,2011-10-03 09:12:02.445000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
,COMPLETE,W_Completeren aanvraag,2011-10-03 09:21:22.417000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,START,W_Completeren aanvraag,2011-10-03 11:21:06.626000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,W_Completeren aanvraag,2011-10-03 11:32:43.313000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,START,W_Completeren aanvraag,2011-10-03 11:32:52.818000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,A_ACCEPTED,2011-10-03 11:34:25.421000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,A_FINALIZED,2011-10-03 11:40:14.632000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,O_SELECTED,2011-10-03 11:40:14.632000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,O_CREATED,2011-10-03 11:40:15.605000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,O_SENT,2011-10-03 11:40:15.651000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,SCHEDULE,W_Nabellen offertes,2011-10-03 11:40:15.865000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,W_Completeren aanvraag,2011-10-03 11:40:17.062000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,START,W_Nabellen offertes,2011-10-03 11:40:42.469000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,O_SELECTED,2011-10-03 11:44:17.619000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,O_CANCELLED,2011-10-03 11:44:17.619000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
11201,COMPLETE,O_CREATED,2011-10-03 11:44:19.671000+00:00,2011-10-01 06:10:30.287000+00:00,173694,7000
